Feature,Importance
cat__model_reduced_elantra,0.00028163487328892545
cat__model_reduced_f250 super duty,0.0002788495079482824
cat__model_reduced_s-class,0.0002784054380838824
cat__model_reduced_corolla le,0.0002775634362709638
cat__model_reduced_colorado,0.00026858305996805084
cat__model_reduced_jetta,0.0002675671783914941
cat__model_reduced_dakota,0.00026557297789269054
cat__model_reduced_liberty,0.0002646599169484204
cat__model_reduced_super duty f-550 drw,0.00026039586840955457
cat__model_reduced_express cargo van,0.0002574794571334976
cat__model_reduced_prius,0.00025243740418996876
cat__model_reduced_sierra,0.00025195825584033057
cat__model_reduced_f-150 xlt,0.0002510518392113238
cat__model_reduced_pt cruiser,0.00024814209128697984
cat__model_reduced_avenger,0.00023496687078709355
cat__model_reduced_sierra 2500hd,0.00023471548834260288
cat__model_reduced_impreza,0.0002280610399757517
cat__model_reduced_f-350 super duty,0.0002196805604439299
cat__model_reduced_journey,0.0002167957126572905
cat__model_reduced_traverse,0.00021559661134395132
cat__model_reduced_escape xlt,0.0002113442340343303
cat__model_reduced_maxima,0.0002075846297453278
cat__model_reduced_x5,0.00020432026143657304
cat__model_reduced_santa fe,0.00019839945618938315
cat__model_reduced_3,0.00019170590959641302
cat__model_reduced_rogue,0.0001853462855620367
cat__model_reduced_accent,0.0001792159350677429
cat__model_reduced_wrangler unlimited rubicon,0.00017775766378288742
cat__model_reduced_murano,0.00017621557503013686
cat__model_reduced_outback,0.0001745660105763586
cat__model_reduced_sonata,0.0001722210683772936
cat__model_reduced_legacy,0.00016900921632977768
cat__model_reduced_pathfinder,0.0001657326628872365
cat__model_reduced_enclave,0.000162820136097543
cat__model_reduced_xterra,0.00015945645183278894
cat__model_reduced_3 series,0.000156409738492085
cat__model_reduced_transit connect,0.00015618496876808186
cat__model_reduced_wrangler unlimited sport,0.00015222837195317366
cat__model_reduced_soul,0.00015195705786284086
cat__model_reduced_328i,0.000151162828217236
cat__model_reduced_c-class,0.0001470508301709757
cat__model_reduced_300,0.00014486179614364326
cat__model_reduced_yukon,0.0001414358698725023
cat__model_reduced_explorer xlt,0.00014099961612884724
cat__manufacturer_alfa-romeo,0.00014003258821660322
cat__model_reduced_fit,0.00013535772041026092
cat__manufacturer_aston-martin,0.00013522726268098113
cat__model_reduced_sorento,0.00013482593508055396
cat__model_reduced_civic lx,0.00013036458345827483
cat__model_reduced_forte,0.00012482764643174406
cat__model_reduced_flex,0.00012458713417358547
cat__model_reduced_forester,0.00012338718399427224
cat__model_reduced_a4,0.0001151946030597012
cat__manufacturer_ferrari,0.00011451761881994486
cat__model_reduced_sport,0.00011371911644796039
cat__manufacturer_datsun,0.00011194740028861664
cat__model_reduced_civic ex,0.00011135501737829557
cat__model_reduced_optima,0.0001104067539895732
cat__model_reduced_g6,0.00010998113111330274
cat__model_reduced_5 series,0.00010959843500511367
cat__model_reduced_es 350,0.00010494981660381068
cat__model_reduced_beetle,0.00010452895207556021
cat__model_reduced_cts,0.00010348637949092237
cat__model_reduced_wrx,0.00010088356158504899
cat__model_reduced_mdx,0.00010014261694511474
cat__model_reduced_town & country,9.844735620589542e-05
cat__model_reduced_1500 classic regular cab,9.735512374962213e-05
cat__model_reduced_yukon xl,9.632572278732107e-05
cat__model_reduced_lacrosse,8.749435723814411e-05
cat__model_reduced_ls 460 sedan 4d,8.576973021165854e-05
cat__model_reduced_altima 2.5 s,8.322800902595088e-05
cat__model_reduced_passat,8.275182673941759e-05
cat__model_reduced_tucson,8.267601926733413e-05
cat__model_reduced_town and country,8.019767591696769e-05
cat__model_reduced_silverado 1500 crew,7.758421304288124e-05
cat__model_reduced_ranger supercab xl pickup,7.569923971498017e-05
cat__model_reduced_mkz,7.358129762511924e-05
cat__model_reduced_town car,7.352056958427866e-05
cat__model_reduced_camaro ss coupe 2d,7.065859208104564e-05
cat__model_reduced_srx,6.803626415887008e-05
cat__model_reduced_mazda3,6.758430588749045e-05
cat__model_reduced_tundra double cab sr,6.742711241340162e-05
cat__model_reduced_accord ex-l,6.739057428732585e-05
cat__model_reduced_encore,6.649912305756737e-05
cat__model_reduced_tl,6.291155506732998e-05
cat__model_reduced_4runner sr5 sport utility,6.255924250704536e-05
cat__model_reduced_transit,5.8823423817928014e-05
cat__model_reduced_f150 supercrew cab xlt,5.803034908366946e-05
cat__model_reduced_veloster,5.5849026499561395e-05
cat__model_reduced_e-class,5.249082864813267e-05
cat__model_reduced_silverado 1500 regular,5.210536544561481e-05
cat__model_reduced_sportage,4.9827883744623314e-05
cat__model_reduced_rx 350,4.8190199964982037e-05
cat__model_reduced_x3,4.727953780205596e-05
cat__model_reduced_3 series 330i xdrive sedan,4.3486262830468954e-05
cat__model_reduced_q5,4.273464226214839e-05
cat__model_reduced_colorado extended cab,4.18032847158273e-05
cat__model_reduced_tundra crewmax sr5 pickup,4.154962956023188e-05
cat__model_reduced_vue,3.0199734842300738e-05
cat__model_reduced_mkx,2.953259725967595e-05
cat__model_reduced_wrangler unlimited all new,2.79292957308923e-05
cat__model_reduced_tiguan,2.5446529093930343e-05
cat__model_reduced_silverado 1500 double,2.4415462161888884e-05
cat__model_reduced_cx-5,2.1681874383053417e-05
