Feature,Importance
cat__model_reduced_sierra 1500,0.0002796641171943872
cat__model_reduced_super duty f-550 drw,0.00027519041560406535
cat__model_reduced_elantra,0.00027165983915245444
cat__model_reduced_f250 super duty,0.0002694503607734725
cat__model_reduced_express cargo van,0.00026750289079295164
cat__model_reduced_dakota,0.0002673273090289123
cat__model_reduced_colorado,0.000263259429330779
cat__model_reduced_liberty,0.0002618982765301356
cat__model_reduced_pt cruiser,0.00025614236880075263
cat__model_reduced_f-150 xlt,0.00025342704034966087
cat__model_reduced_jetta,0.0002461984924272011
cat__model_reduced_avenger,0.00024253832682199223
cat__model_reduced_prius,0.00024211980018641613
cat__model_reduced_sierra 2500hd,0.00023150981356733782
cat__model_reduced_impreza,0.00022425703779924082
cat__model_reduced_f-350 super duty,0.00022239058176197872
cat__model_reduced_escape xlt,0.00021391099311722267
cat__model_reduced_sierra,0.00021380342827679078
cat__model_reduced_journey,0.00021269572873263833
cat__model_reduced_maxima,0.00020088312352204682
cat__model_reduced_traverse,0.00019926860809431
cat__model_reduced_x5,0.00019705934901635878
cat__model_reduced_santa fe,0.00019461446102772708
cat__model_reduced_3,0.00019333950189405905
cat__model_reduced_wrangler unlimited rubicon,0.00018583419063625636
cat__model_reduced_accent,0.0001829765124329506
cat__model_reduced_murano,0.00017562432203386232
cat__model_reduced_legacy,0.00016321031840978346
cat__model_reduced_enclave,0.0001621701925911551
cat__model_reduced_pathfinder,0.00015983395606902783
cat__model_reduced_wrangler unlimited sport,0.0001597030661560593
cat__model_reduced_transit connect,0.0001583897403551991
cat__model_reduced_xterra,0.00015747639325468517
cat__model_reduced_rogue,0.00015660277796207913
cat__model_reduced_outback,0.00015596560505690943
cat__model_reduced_3 series,0.00015100862513107551
cat__model_reduced_soul,0.00014925038455035572
cat__model_reduced_328i,0.00014573234239874963
cat__manufacturer_aston-martin,0.0001435992149241969
cat__model_reduced_c-class,0.0001434711687392108
cat__model_reduced_sonata,0.00014098055655546534
cat__manufacturer_alfa-romeo,0.00013999501577902616
cat__model_reduced_explorer xlt,0.00013568474617385012
cat__model_reduced_300,0.00013540564958007211
cat__model_reduced_fit,0.00013441461057836802
cat__model_reduced_civic lx,0.00012704246776739172
cat__model_reduced_sorento,0.00012690292013932145
cat__model_reduced_flex,0.00012467435434568964
cat__model_reduced_forte,0.00012319219945911285
cat__manufacturer_ferrari,0.0001215590102567064
cat__model_reduced_sport,0.00011846300159691595
cat__model_reduced_yukon,0.0001179969780645735
cat__model_reduced_5 series,0.00010939798146151569
cat__model_reduced_civic ex,0.00010869080988573407
cat__manufacturer_datsun,0.00010743263936617482
cat__model_reduced_a4,0.0001064947476757082
cat__model_reduced_es 350,0.00010415650157652803
cat__model_reduced_forester,0.00010399363826188817
cat__model_reduced_1500 classic regular cab,0.00010352685128411191
cat__model_reduced_g6,0.00010350676687321678
cat__model_reduced_optima,9.904105754223002e-05
cat__model_reduced_cts,9.602580444922059e-05
cat__model_reduced_mdx,9.479551794898096e-05
cat__model_reduced_wrx,9.464201566721249e-05
cat__model_reduced_yukon xl,9.140406628402281e-05
cat__model_reduced_ls 460 sedan 4d,9.11993990382276e-05
cat__model_reduced_lacrosse,8.337103738107102e-05
cat__model_reduced_beetle,8.296482403468248e-05
cat__model_reduced_town & country,8.291939954977743e-05
cat__model_reduced_silverado 1500 crew,8.153880858037258e-05
cat__model_reduced_ranger supercab xl pickup,8.048956816408529e-05
cat__model_reduced_tucson,7.636759602470014e-05
cat__model_reduced_altima 2.5 s,7.575652791679758e-05
