feature,coefficient
cat__manufacturer_datsun,0.9039460206249519
cat__manufacturer_tesla,0.8717910949563484
cat__model_reduced_corvette,0.7979952214066286
cat__model_reduced_corvette grand sport,0.7211497269545386
cat__manufacturer_porsche,0.676913476759637
cat__model_reduced_titan,0.6073213872438424
cat__fuel_diesel,0.5914930661710286
cat__model_reduced_tundra,0.57600461663025
cat__model_reduced_silverado 3500hd,0.5725257131764497
cat__model_reduced_escalade,0.5661855291883928
cat__model_reduced_wrangler unlimited,0.5390928712311969
cat__model_reduced_s-class,0.5362877800115629
cat__model_reduced_silverado 2500hd,0.5347191927250222
cat__model_reduced_wrangler,0.5045371864828164
cat__model_reduced_wrangler unlimited sahara,0.4837401721794604
cat__model_reduced_challenger,0.47672462706402197
cat__model_reduced_wrangler unlimited rubicon,0.45409776363216164
cat__model_reduced_super duty f-350 srw,0.4539414793059642
cat__model_reduced_4runner,0.43767725772851546
cat__model_reduced_super duty f-250,0.43626778972726854
cat__model_reduced_f-250,0.42423941847522756
cat__model_reduced_silverado 1500,0.421863980678226
cat__model_reduced_tacoma,0.41799774459388866
cat__model_reduced_silverado 1500 lt,0.41661023980718564
cat__model_reduced_f-350,0.4140894028503854
cat__model_reduced_silverado,0.40735379945315503
cat__model_reduced_super duty f-250 srw,0.4055018612039515
cat__model_reduced_f-350 super duty,0.4011100719043087
cat__model_reduced_frontier,0.3975964907351377
cat__model_reduced_sierra 2500hd,0.38873663803795583
cat__model_reduced_super duty f-550 drw,0.3767932454348668
cat__manufacturer_ram,0.3746627391241245
cat__model_reduced_avalanche,0.373578252849552
cat__title_status_clean,0.36331928384673384
cat__title_status_lien,0.349463954913298
cat__model_reduced_wrangler unlimited sport,0.34372591284156634
cat__model_reduced_f250,0.3394287340845667
cat__model_reduced_mx-5 miata grand touring,0.3370084193716326
cat__model_reduced_tundra crewmax sr5 pickup,0.3231913613314485
cat__model_reduced_camaro,0.3230134712219571
cat__manufacturer_gmc,0.3211881791927287
cat__model_reduced_suburban,0.32083088096480616
cat__model_reduced_enclave,0.31714231384273933
cat__model_reduced_tahoe,0.31712407908680734
cat__manufacturer_rover,0.306337296694241
cat__model_reduced_ls 460 sedan 4d,0.30383737902765795
cat__model_reduced_cx-5,0.30106047776170786
cat__model_reduced_sierra 1500,0.30008441819171267
cat__model_reduced_challenger r/t coupe 2d,0.29673821800617883
cat__model_reduced_sierra,0.2953816827286595
cat__manufacturer_aston-martin,0.29469194669361065
cat__model_reduced_express cargo van,0.29161586168806247
cat__model_reduced_camaro ss coupe 2d,0.2912743734710108
cat__model_reduced_f-250 super duty,0.2880464020601341
cat__model_reduced_f-150,0.273804702281823
cat__model_reduced_2500,0.27272323966866185
cat__model_reduced_pilot,0.2670989097215031
cat__model_reduced_sport,0.2633664182662094
cat__model_reduced_sorento,0.26171234949101385
